Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Days_Until_Stockout,Risk_Label,Vendor_Name,Avg_Lead_Time (days),Cost_Per_Item
2024-10-01,105,Consumable,Ventilator,1542,264,1018,4467.55,108,17,V001,14.277777777777779,High,MedSupplies Inc.,5,0.5
2024-10-02,100,Equipment,Ventilator,2487,656,3556,5832.29,55,12,V001,45.21818181818182,Low,MedSupplies Inc.,5,0.5
2024-10-03,103,Equipment,Surgical Mask,2371,384,5562,16062.98,470,6,V001,5.04468085106383,High,MedSupplies Inc.,5,0.5
2024-10-04,103,Consumable,Surgical Mask,2038,438,1131,744.1,207,15,V002,9.845410628019323,High,EquipMed Co.,30,20000.0
2024-10-05,107,Equipment,IV Drip,2410,338,1013,15426.53,158,12,V003,15.253164556962025,Medium,HealthTools Ltd.,15,5000.0
2024-10-06,109,Equipment,IV Drip,2258,402,1715,15246.06,386,26,V002,5.849740932642487,High,EquipMed Co.,30,20000.0
2024-10-07,103,Consumable,IV Drip,387,210,3765,1631.28,207,24,V003,1.8695652173913044,High,HealthTools Ltd.,15,5000.0
2024-10-08,105,Equipment,IV Drip,123,502,2161,16620.81,257,11,V002,0.4785992217898833,High,EquipMed Co.,30,20000.0
2024-10-09,102,Consumable,Ventilator,790,751,1801,3441.26,16,20,V001,49.375,Low,MedSupplies Inc.,5,0.5
2024-10-10,104,Equipment,Gloves,2448,28,1314,2729.08,418,5,V002,5.856459330143541,Medium,EquipMed Co.,30,20000.0
2024-10-11,107,Equipment,Surgical Mask,3451,12,2292,3328.44,161,21,V001,21.434782608695652,Medium,MedSupplies Inc.,5,0.5
2024-10-12,106,Consumable,Surgical Mask,4510,207,4298,55.66,254,8,V003,17.755905511811022,Low,HealthTools Ltd.,15,5000.0
2024-10-13,108,Consumable,X-ray Machine,3298,231,3736,10669.37,244,2,V001,13.51639344262295,Low,MedSupplies Inc.,5,0.5
2024-10-14,108,Consumable,Gloves,789,515,4238,7379.83,230,24,V002,3.4304347826086956,High,EquipMed Co.,30,20000.0
2024-10-15,101,Consumable,Gloves,4719,239,2184,2865.49,198,24,V003,23.833333333333332,High,HealthTools Ltd.,15,5000.0
2024-10-16,106,Equipment,Surgical Mask,3465,622,4936,17374.64,415,25,V002,8.349397590361447,High,EquipMed Co.,30,20000.0
2024-10-17,107,Equipment,Gloves,466,372,3426,10124.28,106,26,V002,4.39622641509434,High,EquipMed Co.,30,20000.0
2024-10-18,107,Consumable,X-ray Machine,2410,167,3633,6974.49,176,6,V002,13.693181818181818,Low,EquipMed Co.,30,20000.0
