Item_ID,Category,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Vendor_Name,Cost_Per_Item,Days_Until_Stockout,Risk_Label
1000,Diagnostic Supplies,Test Kit,886,242,1223,370.56,19,15,V003,HealthTools Ltd.,319.02,46.63157894736842,Low
1001,Equipment/Consumables,Small Equipment,797,217,1631,4524.17,8,13,V001,MedSupplies Inc.,3643.87,99.625,Low
1002,Equipment/Consumables,Small Equipment,158,33,238,1922.77,21,10,V001,MedSupplies Inc.,1919.04,7.523809523809524,High
1003,Equipment/Consumables,Thermometer,106,30,202,14131.34,17,9,V004,CarePlus Distributors,14221.91,6.235294117647059,High
1004,Surgical Supplies,Surgical Mask,2033,683,4685,26.24,272,7,V001,MedSupplies Inc.,22.01,7.474264705882353,Medium
1005,IV & Emergency Supplies,Defibrillator Pads,138,32,207,284.2,13,2,V001,MedSupplies Inc.,285.26,10.615384615384615,Low
1006,IV & Emergency Supplies,IV Fluid,636,132,1038,588.48,118,3,V002,EquipMed Co.,495.37,5.389830508474576,Medium
1007,Equipment/Consumables,Thermometer,279,32,616,9093.11,53,9,V002,EquipMed Co.,8732.45,5.264150943396227,High
1008,Medicines,Antibiotic,940,237,2288,204.36,67,6,V005,PrimeMed Supply Chain,193.15,14.029850746268657,Low
1009,Surgical Supplies,Surgical Mask,457,89,952,23.39,258,5,V002,EquipMed Co.,24.31,1.7713178294573644,High
1010,Equipment/Consumables,Ventilator Filter,427,123,950,3516.38,7,9,V004,CarePlus Distributors,2884.67,61.0,Low
1011,IV & Emergency Supplies,IV Fluid,151,51,220,559.16,21,2,V002,EquipMed Co.,454.24,7.190476190476191,Low
1012,Diagnostic Supplies,Test Kit,1067,174,1778,240.03,79,17,V003,HealthTools Ltd.,245.05,13.50632911392405,High
1013,Equipment/Consumables,Small Equipment,229,36,416,7917.59,38,3,V002,EquipMed Co.,8033.56,6.026315789473684,Low
1014,IV & Emergency Supplies,Defibrillator Pads,951,107,1609,299.91,30,4,V003,HealthTools Ltd.,305.67,31.7,Low
1015,Diagnostic Supplies,X-ray Film,247,67,316,315.46,26,16,V001,MedSupplies Inc.,274.39,9.5,High
1016,Diagnostic Supplies,X-ray Film,891,294,1672,377.57,56,8,V002,EquipMed Co.,316.57,15.910714285714286,Medium
1017,Medicines,Antibiotic,1709,523,3206,193.0,63,12,V001,MedSupplies Inc.,179.53,27.126984126984127,Low
1018,Surgical Supplies,Surgical Mask,222,74,511,67.56,132,4,V002,EquipMed Co.,71.52,1.6818181818181819,High
1019,IV & Emergency Supplies,Defibrillator Pads,1461,305,2849,594.38,176,5,V004,CarePlus Distributors,559.54,8.301136363636363,Medium
1020,IV & Emergency Supplies,Emergency Kit,410,65,765,96.82,42,5,V004,CarePlus Distributors,91.62,9.761904761904763,Medium
1021,Diagnostic Supplies,Reagent,1114,351,2191,151.24,38,15,V003,HealthTools Ltd.,141.41,29.31578947368421,Medium
1022,Diagnostic Supplies,Blood Collection Tube,730,166,964,457.68,45,19,V002,EquipMed Co.,433.62,16.22222222222222,High
1023,IV & Emergency Supplies,IV Fluid,3763,1238,8040,330.13,199,4,V002,EquipMed Co.,277.36,18.90954773869347,Low
1024,Surgical Supplies,Sutures,2430,289,4124,38.04,380,5,V005,PrimeMed Supply Chain,33.46,6.394736842105263,Medium
1025,Equipment/Consumables,Thermometer,504,108,1116,19205.35,34,9,V002,EquipMed Co.,19810.09,14.823529411764707,Medium
1026,Diagnostic Supplies,Test Kit,1339,235,2173,433.32,41,14,V003,HealthTools Ltd.,381.94,32.65853658536585,Low
1027,Medicines,Painkiller,426,110,883,319.82,51,8,V003,HealthTools Ltd.,331.2,8.352941176470589,Medium
1028,Equipment/Consumables,Small Equipment,1205,275,1842,19753.81,21,10,V003,HealthTools Ltd.,20370.58,57.38095238095238,Low
1029,Medicines,Insulin,6115,1241,13328,109.8,138,13,V002,EquipMed Co.,101.41,44.31159420289855,Low
1030,Medicines,Antibiotic,281,63,405,47.72,97,3,V002,EquipMed Co.,40.09,2.8969072164948453,High
1031,IV & Emergency Supplies,Cannula,224,37,314,514.21,32,3,V004,CarePlus Distributors,475.21,7.0,Low
1032,Diagnostic Supplies,Reagent,432,114,630,46.08,51,5,V005,PrimeMed Supply Chain,50.54,8.470588235294118,Medium
1033,Medicines,Antihistamine,1283,146,2487,329.24,86,11,V001,MedSupplies Inc.,286.79,14.918604651162791,Medium
1034,Equipment/Consumables,Thermometer,468,101,633,19612.34,22,10,V005,PrimeMed Supply Chain,17021.21,21.272727272727273,Low
1035,IV & Emergency Supplies,Cannula,1546,473,2149,668.85,113,5,V002,EquipMed Co.,582.66,13.68141592920354,Low
1036,Diagnostic Supplies,X-ray Film,115,15,178,229.42,27,10,V002,EquipMed Co.,187.44,4.2592592592592595,High
1037,Diagnostic Supplies,Reagent,160,37,366,93.94,49,7,V002,EquipMed Co.,101.0,3.2653061224489797,High
1038,Diagnostic Supplies,Reagent,1083,149,2675,335.97,74,8,V004,CarePlus Distributors,342.38,14.635135135135135,Medium
1039,IV & Emergency Supplies,Defibrillator Pads,58,9,79,360.29,77,2,V004,CarePlus Distributors,290.84,0.7532467532467533,High
1040,Diagnostic Supplies,Reagent,362,107,901,159.59,22,7,V005,PrimeMed Supply Chain,138.43,16.454545454545453,Low
1041,Medicines,Insulin,5313,1334,9051,433.11,55,13,V005,PrimeMed Supply Chain,450.26,96.6,Low
1042,Diagnostic Supplies,Test Kit,2744,423,3607,132.83,20,19,V003,HealthTools Ltd.,139.6,137.2,Low
1043,Equipment/Consumables,Thermometer,2032,448,5045,15103.66,51,6,V002,EquipMed Co.,14522.45,39.84313725490196,Low
1044,Medicines,Antihistamine,7634,1901,17242,197.24,118,13,V001,MedSupplies Inc.,183.0,64.69491525423729,Low
1045,IV & Emergency Supplies,Cannula,191,43,335,57.22,60,5,V002,EquipMed Co.,62.55,3.183333333333333,High
1046,Equipment/Consumables,Ventilator Filter,1745,394,3837,1285.83,18,14,V002,EquipMed Co.,1208.52,96.94444444444444,Low
1047,Surgical Supplies,Surgical Gloves,9093,3009,22703,5.18,199,9,V005,PrimeMed Supply Chain,4.76,45.69346733668342,Low
1048,IV & Emergency Supplies,Cannula,532,154,1256,354.78,149,5,V001,MedSupplies Inc.,388.84,3.5704697986577183,High
1049,Diagnostic Supplies,Reagent,643,174,1000,447.15,10,13,V004,CarePlus Distributors,467.95,64.3,Low
1050,Medicines,Insulin,7561,971,15402,418.82,139,11,V005,PrimeMed Supply Chain,431.15,54.39568345323741,Low
1051,Medicines,Antibiotic,1273,266,2094,277.77,137,9,V002,EquipMed Co.,284.97,9.291970802919709,Medium
1052,Diagnostic Supplies,X-ray Film,886,227,1369,42.62,41,10,V005,PrimeMed Supply Chain,39.61,21.609756097560975,Low
1053,Diagnostic Supplies,Blood Collection Tube,3656,953,5704,280.81,77,19,V003,HealthTools Ltd.,286.65,47.48051948051948,Low
1054,Diagnostic Supplies,Reagent,34,11,69,450.37,12,6,V001,MedSupplies Inc.,376.73,2.8333333333333335,High
1055,Surgical Supplies,Syringes,6084,1873,10492,34.66,313,8,V005,PrimeMed Supply Chain,35.28,19.437699680511184,Low
1056,IV & Emergency Supplies,Emergency Kit,2005,404,4977,58.9,79,4,V002,EquipMed Co.,52.47,25.379746835443036,Low
1057,IV & Emergency Supplies,IV Fluid,1271,314,2603,215.7,90,4,V004,CarePlus Distributors,211.83,14.122222222222222,Low
1058,Diagnostic Supplies,Blood Collection Tube,1192,385,2566,314.85,23,15,V005,PrimeMed Supply Chain,277.02,51.82608695652174,Low
1059,Surgical Supplies,Surgical Gloves,549,84,1348,14.8,71,4,V001,MedSupplies Inc.,12.48,7.732394366197183,Medium
1060,Surgical Supplies,Surgical Gloves,3847,958,6446,81.1,112,7,V001,MedSupplies Inc.,76.43,34.348214285714285,Low
1061,Surgical Supplies,Sutures,19255,5109,45716,11.66,399,7,V001,MedSupplies Inc.,10.86,48.258145363408524,Low
1062,Surgical Supplies,Surgical Mask,621,82,935,93.39,381,4,V001,MedSupplies Inc.,91.46,1.6299212598425197,High
1063,Diagnostic Supplies,Reagent,850,205,1700,42.94,38,15,V001,MedSupplies Inc.,39.28,22.36842105263158,Medium
1064,Medicines,Antiviral,322,53,652,232.57,52,12,V003,HealthTools Ltd.,244.39,6.1923076923076925,High
1065,Surgical Supplies,Surgical Mask,1327,389,2724,48.22,248,8,V004,CarePlus Distributors,39.25,5.350806451612903,High
